quarter,department,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter2,finishing,Saturday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter3,finishing,Wednesday,3,0.36 - 0.50,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter3,finishing,Monday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter2,finishing,Monday,8,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,720 - 1440,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter2,finishing,Sunday,6,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Thursday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Saturday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter2,finishing,Monday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Sunday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter3,finishing,Sunday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.23 - 0.38
Quarter1,finishing,Tuesday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Tuesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter1,finishing,Monday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter1,finishing,Sunday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter1,finishing,Tuesday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Monday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Monday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Monday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Monday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Thursday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Saturday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter4,finishing,Sunday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.23 - 0.38
Quarter2,finishing,Wednesday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter2,finishing,Tuesday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Thursday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Saturday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Wednesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Wednesday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Thursday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Saturday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Thursday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Wednesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter2,finishing,Sunday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Sunday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Saturday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Sunday,1,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter2,finishing,Sunday,8,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Thursday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Tuesday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter2,finishing,Monday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,720 - 1440,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter2,finishing,Saturday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter4,finishing,Tuesday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter2,finishing,Wednesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Saturday,2,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Wednesday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
Quarter1,finishing,Monday,1,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.38 - 0.54
