quarter,day,team,targeted_productivity,over_time,incentive,no_of_workers,actual_productivity
Quarter2,Saturday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter3,Wednesday,3,0.36 - 0.50,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter3,Monday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter2,Monday,8,0.50 - 0.65,0 - 5184,720 - 1440,2.0 - 19.4,0.23 - 0.38
Quarter2,Sunday,6,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Thursday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Saturday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter2,Monday,12,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Sunday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter3,Sunday,4,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.23 - 0.38
Quarter1,Tuesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Tuesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter1,Monday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter1,Sunday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter1,Tuesday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Monday,7,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Monday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Monday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Monday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Thursday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Saturday,8,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter4,Sunday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.23 - 0.38
Quarter2,Wednesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter2,Tuesday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Thursday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Saturday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Wednesday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Wednesday,6,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Thursday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Saturday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Thursday,11,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter4,Wednesday,2,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter2,Sunday,10,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Sunday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Saturday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Sunday,1,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter2,Sunday,8,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
Quarter1,Thursday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.38 - 0.54
