targeted_productivity,standard_minute_value,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0.8,26.16,7080,98,0,0,0,59,yes
0.75,3.94,960,0,0,0,0,8,yes
0.8,11.41,3660,50,0,0,0,30.5,yes
0.8,11.41,3660,50,0,0,0,30.5,yes
0.8,25.9,1920,50,0,0,0,56,yes
0.8,25.9,6720,38,0,0,0,56,yes
0.75,3.94,960,0,0,0,0,8,yes
0.75,28.08,6900,45,0,0,0,57.5,yes
0.75,19.87,6000,34,0,0,0,55,yes
0.75,28.08,6900,45,0,0,0,57.5,yes
0.7,28.08,6900,44,0,0,0,57.5,yes
0.75,19.31,6480,45,0,0,0,54,yes
0.8,11.41,3660,50,0,0,0,30.5,yes
0.65,3.94,960,0,0,0,0,8,yes
0.75,2.9,960,0,0,0,0,8,yes
0.75,3.94,2160,0,0,0,0,18,yes
0.8,2.9,960,0,0,0,0,8,yes
0.65,23.69,7200,0,0,0,0,60,yes
0.7,4.15,1440,0,0,0,0,12,yes
0.8,4.15,6600,0,0,0,0,20,yes
0.75,2.9,5640,0,0,0,0,17,yes
0.8,4.15,960,0,0,0,0,8,yes
0.75,3.94,1560,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,28.08,6300,50,0,0,0,56.5,yes
0.8,28.08,6540,50,0,0,0,54.5,yes
0.8,26.16,7080,50,0,0,0,59,yes
0.8,26.16,7080,63,0,0,0,59,yes
0.8,11.61,7080,50,0,0,0,29.5,yes
0.8,11.61,7080,50,0,0,0,31.5,yes
0.8,25.9,6720,50,0,0,0,56,yes
0.8,25.9,6720,38,0,0,0,56,yes
0.75,19.31,6480,56,0,0,0,54,yes
0.8,4.15,960,0,0,0,0,8,yes
0.75,19.87,6600,45,0,0,0,55,yes
0.7,4.15,960,0,0,0,0,8,yes
0.7,23.69,13800,0,0,0,0,60,yes
0.7,28.08,6900,40,0,0,0,57.5,yes
0.8,2.9,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.75,4.15,1560,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,11.61,6975,50,0,0,0,31,yes
0.8,3.94,6600,0,0,0,0,20,yes
0.8,26.16,7080,60,0,0,0,59,yes
0.8,25.9,7020,60,0,0,0,56.5,yes
0.8,25.9,6780,45,0,0,0,56.5,yes
0.8,28.08,4260,50,0,0,0,55.5,yes
0.8,26.16,7080,63,0,0,0,59,yes
0.8,28.08,6660,50,0,0,0,55.5,yes
0.8,11.61,6975,50,0,0,0,31,yes
0.8,3.94,960,0,0,0,0,8,yes
0.7,3.94,4320,0,0,0,0,18,yes
0.75,19.31,6480,45,0,0,0,54,yes
0.75,19.87,6600,45,0,0,0,55,yes
0.7,28.08,6900,40,0,0,0,57.5,yes
0.8,2.9,960,0,0,0,0,8,yes
0.8,2.9,960,0,0,0,0,8,yes
0.7,45.67,6960,26,0,0,0,58,yes
0.75,4.15,960,0,0,0,0,8,yes
0.8,3.94,1920,0,0,0,0,8,yes
0.8,3.94,2400,0,0,0,0,10,yes
0.8,3.94,3840,0,0,0,0,16,yes
0.75,4.15,1920,0,0,0,0,8,yes
0.8,26.16,7080,75,0,0,0,59,yes
0.8,2.9,1920,0,0,0,0,8,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,25.9,6780,50,0,0,0,56.5,yes
0.8,25.9,6780,38,0,0,0,56.5,yes
0.8,26.16,7080,63,0,0,0,59,yes
0.8,19.31,4800,50,0,0,0,55,yes
0.8,11.61,7200,50,0,0,0,32,yes
0.8,11.61,7200,50,0,0,0,32,yes
0.8,28.08,6900,50,0,0,0,57.5,yes
0.8,28.08,6900,50,0,0,0,57.5,yes
0.75,2.9,960,0,0,0,0,8,yes
0.6,2.9,960,0,0,0,0,8,yes
0.75,28.08,7020,45,0,0,0,58.5,yes
0.75,19.87,6600,45,0,0,0,55,yes
0.8,3.94,960,0,0,0,0,8,yes
0.8,2.9,960,0,0,0,0,8,yes
0.6,21.98,6960,23,0,0,0,58,yes
0.8,3.94,4440,0,0,0,0,18,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.75,4.15,1800,0,0,0,0,10,yes
0.8,4.15,2700,0,0,0,0,15,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.75,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,28.08,10350,50,0,0,0,57.5,yes
0.8,28.08,10350,50,0,0,0,57.5,yes
0.8,19.87,9900,50,0,0,0,55,yes
0.8,11.61,5310,50,0,0,0,31.5,yes
0.8,25.9,10170,38,0,0,0,56.5,yes
0.8,25.9,10170,38,0,0,0,56.5,yes
0.8,11.61,4470,38,0,0,0,31.5,yes
0.75,28.08,10530,45,0,0,0,58.5,yes
0.75,19.31,9900,45,0,0,0,55,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.65,21.98,10440,35,0,0,0,58,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.75,4.15,2700,0,0,0,0,15,yes
0.8,3.94,4440,0,0,0,0,18,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.75,3.94,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,28.08,10350,63,0,0,0,57.5,yes
0.8,28.08,10350,50,0,0,0,57.5,yes
0.8,11.41,5490,50,0,0,0,30.5,yes
0.8,19.87,9900,50,0,0,0,55,yes
0.8,11.61,5670,50,0,0,0,31.5,yes
0.8,25.9,10170,50,0,0,0,56.5,yes
0.75,28.08,10530,69,0,0,0,58.5,yes
0.7,21.98,9720,40,0,0,0,58,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,2.9,1800,0,0,0,0,10,yes
0.8,31.83,9900,40,0,0,0,55,yes
0.7,4.15,1440,0,0,0,0,8,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,3.94,12600,0,0,0,0,20,yes
0.8,26.16,10620,88,0,0,0,59,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,28.08,10530,75,0,0,0,58.5,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.7,4.15,3840,0,0,0,0,8,yes
0.8,28.08,10050,63,0,0,0,58.5,yes
0.8,19.87,9900,50,0,0,0,55,yes
0.8,11.61,15120,63,0,0,0,31.5,yes
0.8,11.41,14640,50,0,0,0,30.5,yes
0.75,28.08,10530,69,0,0,0,58.5,yes
0.75,3.94,1440,0,0,0,0,8,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.75,4.15,2160,0,0,0,0,12,yes
0.8,2.9,1440,0,0,0,0,8,yes
0.8,4.15,900,0,0,0,0,5,yes
0.35,12.52,25920,38,0,0,0,54,yes
0.7,42.41,10260,0,0,0,0,57,yes
0.8,3.94,2160,0,0,0,0,8,yes
0.75,4.15,2760,0,0,0,0,12,yes
0.8,3.94,6000,0,0,0,0,20,yes
0.8,3.94,1440,0,0,0,0,8,yes
0.8,26.16,10620,75,0,0,0,59,yes
0.8,25.9,10170,60,0,0,0,56.5,yes
