quarter,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter2,Thursday,5,0.65 - 0.80,33.89 - 44.23,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,Thursday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter3,Wednesday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,0 - 5184,0 - 60,27 - 36,2,54.2 - 71.6,0.23 - 0.38
Quarter1,Monday,8,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter1,Thursday,6,0.21 - 0.36,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter4,Tuesday,1,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter3,Sunday,9,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter4,Wednesday,7,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter5,Saturday,8,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,36.8 - 54.2,0.23 - 0.38
Quarter1,Monday,7,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,Tuesday,10,0.50 - 0.65,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,27 - 36,1,36.8 - 54.2,0.23 - 0.38
Quarter1,Tuesday,2,0.36 - 0.50,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,27 - 36,1,36.8 - 54.2,0.23 - 0.38
Quarter3,Wednesday,10,0.65 - 0.80,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,27 - 36,1,36.8 - 54.2,0.23 - 0.38
Quarter4,Sunday,5,0.65 - 0.80,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,18 - 27,0,54.2 - 71.6,0.23 - 0.38
Quarter2,Wednesday,2,0.65 - 0.80,44.22 - 54.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,54.2 - 71.6,0.23 - 0.38
Quarter3,Wednesday,2,0.50 - 0.65,23.56 - 33.90,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,54.2 - 71.6,0.23 - 0.38
Quarter3,Monday,9,0.50 - 0.65,13.23 - 23.56,7 - 4630,5184 - 10368,0 - 60,0 - 9,1,36.8 - 54.2,0.23 - 0.38
Quarter1,Wednesday,6,0.65 - 0.80,13.23 - 23.56,7 - 4630,0 - 5184,0 - 60,0 - 9,0,19.4 - 36.8,0.23 - 0.38
