targeted_productivity,standard_minute_value,work_in_progress,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0.7,4.15,0,2700,0,0,0,0,15,0.23 - 0.38
0.75,4.15,0,2400,0,0,0,0,20,0.23 - 0.38
0.75,18.79,52,3960,0,0,0,0,33,0.23 - 0.38
0.35,15.26,1111,6120,23,0,0,0,34,0.23 - 0.38
0.35,22.53,1450,2640,0,0,0,1,39,0.23 - 0.38
0.6,22.53,708,5040,0,0,0,1,42,0.23 - 0.38
0.6,18.22,1131,5280,0,0,0,1,44,0.23 - 0.38
0.4,15.28,157,5400,0,6,30,1,45,0.23 - 0.38
0.7,19.68,1119,5640,0,8,35,1,47,0.23 - 0.38
0.7,19.68,1410,5760,0,0,0,1,48,0.23 - 0.38
0.7,24.26,1400,6720,0,0,0,0,56,0.38 - 0.54
0.5,22.4,947,3390,23,0,0,0,56,0.38 - 0.54
0.5,22.52,1720,10080,23,0,0,0,56,0.38 - 0.54
0.5,22.4,783,10170,23,0,0,0,56,0.38 - 0.54
0.8,49.1,1381,10350,24,0,0,0,57,0.38 - 0.54
0.8,22.52,12,6900,0,0,0,0,57,0.38 - 0.54
0.8,29.4,30,6840,0,0,0,0,57,0.38 - 0.54
0.35,27.48,413,6840,38,0,0,1,57,0.38 - 0.54
0.6,20.79,1208,7980,0,0,0,0,57,0.38 - 0.54
0.7,24.26,1167,6840,0,0,0,0,57,0.38 - 0.54
0.8,4.15,0,1440,0,0,0,0,8,0.54 - 0.69
0.65,3.94,0,1440,0,0,0,0,8,0.54 - 0.69
0.8,2.9,0,1440,0,0,0,0,8,0.54 - 0.69
0.8,2.9,0,1440,0,0,0,0,8,0.54 - 0.69
0.8,3.94,0,960,0,0,0,0,8,0.54 - 0.69
0.75,5.13,0,960,0,0,0,0,8,0.54 - 0.69
0.8,2.9,0,960,0,0,0,0,8,0.54 - 0.69
0.7,4.6,0,960,0,0,0,0,8,0.54 - 0.69
0.8,2.9,0,1440,0,0,0,0,8,0.54 - 0.69
0.8,2.9,0,960,0,0,0,0,8,0.54 - 0.69
0.8,4.15,0,1440,0,0,0,0,8,0.69 - 0.84
0.8,2.9,0,1440,0,0,0,0,8,0.69 - 0.84
0.75,3.9,0,1920,0,0,0,0,8,0.69 - 0.84
0.8,2.9,0,1920,0,0,0,0,8,0.69 - 0.84
0.8,3.94,0,1440,0,0,0,0,8,0.69 - 0.84
0.7,4.15,0,3840,0,0,0,0,8,0.69 - 0.84
0.65,4.15,0,1440,0,0,0,0,8,0.69 - 0.84
0.8,3.94,0,2400,0,0,0,0,8,0.69 - 0.84
0.8,3.94,0,1440,0,0,0,0,8,0.69 - 0.84
0.8,2.9,0,960,0,0,0,0,8,0.69 - 0.84
0.75,2.9,0,1080,0,0,0,0,9,0.84 - 1.00
0.8,4.6,0,1080,0,0,0,0,9,0.84 - 1.00
0.75,3.94,0,1620,0,0,0,0,9,0.84 - 1.00
0.75,4.08,0,1080,0,0,0,0,9,0.84 - 1.00
0.8,4.08,0,1080,0,0,0,0,9,0.84 - 1.00
0.8,4.08,0,1080,0,0,0,0,9,0.84 - 1.00
0.7,3.94,0,1200,0,0,0,0,10,0.84 - 1.00
0.75,3.94,0,1200,0,0,0,0,10,0.84 - 1.00
0.8,3.94,0,1200,0,0,0,0,10,0.84 - 1.00
0.8,3.94,0,1200,0,0,0,0,10,0.84 - 1.00
